$movie_id$movie_title$comment_user$comment_time$comment_vote$comment_text
160$1418019$大闹天宫$锐...$2008-12-09 23:39:42$0$中国动画的骄傲。
161$1418019$大闹天宫$小饺卷$2008-11-30 13:15:49$0$童年记忆
162$1418019$大闹天宫$阿美$2011-09-06 19:11:53$0$这才是美猴王呀，让张纪中吃屎去吧。
163$1418019$大闹天宫$Comel$2011-10-11 20:44:27$1$童年回忆
164$1418019$大闹天宫$翁小样$2010-02-06 16:15:31$0$IPTV 外公家 http://movie.douban.com/review/2980414/
165$1418019$大闹天宫$[已注销]$2011-09-15 17:22:37$0$经典
166$1418019$大闹天宫$Seamoon$2011-07-13 10:14:48$2$看的是删减版，完整看完两次原著时，还没有上高中，之后倒是看了许多改编的小说，和相关的研究，希望下次看依然能抱着天真的心态。
167$1418019$大闹天宫$语无伦次田先生$2007-09-27 22:40:20$0$中国经典水墨动画。
168$1418019$大闹天宫$DosEquis$2012-05-31 19:46:32$0$回忆啊……
169$1418019$大闹天宫$少说话多写字$2012-07-08 12:39:04$0$配乐运用了中国戏曲的各种元素哦，大圣和哪吒打斗的那场戏的锣鼓点真是精彩异常！！赞！
170$1418019$大闹天宫$冇有$2006-09-18 00:25:29$0$颠峰之作
171$1418019$大闹天宫$羽化飞仙$2012-07-16 11:41:16$0$中式传统动画美学的巅峰。
172$1418019$大闹天宫$小妞·♬$2010-02-02 16:46:36$0$我恨不能给你6星
173$1418019$大闹天宫$北冰洋的海豹$2009-12-25 10:06:30$0$中国动画史上里程碑式经典佳作。至今无人可及。引人深思啊。。。PS.少白老师对它的赞美之词已到无以复加的程度。
174$1418019$大闹天宫$千寻亿选$2010-12-28 18:57:42$0$除了京剧的锣鼓有点吵，基本完美
175$1418019$大闹天宫$HiNeNi$2011-11-05 19:58:41$0$国产动画片的骄傲，小时候的不灭记忆，水墨画的巅峰之战
176$1418019$大闹天宫$思鄉の風$2010-05-11 01:08:11$0$神作，真的是神作，一个巅峰
177$1418019$大闹天宫$正气大侠$2013-04-26 13:47:36$0$数不清小时候看过多少遍
178$1418019$大闹天宫$哆啦哆啦$2010-11-10 21:49:07$0$好吧，其实我看过，不止一两次
179$1418019$大闹天宫$天海太阳$2010-10-01 00:43:14$0$一个剧本是明朝人写的动画片过了四十周年还要纪念一把，可见天朝的动漫发展如何
180$1418019$大闹天宫$Morgan$2011-08-07 23:45:33$0$65年的中国动画，艺术欣赏价值相当不错
181$1418019$大闹天宫$豆邮(99+)$2012-07-08 06:34:14$0$牛逼的中国经典动画
182$1418019$大闹天宫$猫罐头$2010-09-18 10:53:25$0$看俺老孙变成一座庙
183$1418019$大闹天宫$KL$2009-08-15 00:33:20$0$60年代的条件下，有如此佳作。而经济发展到现在，国产动画又怎样了？~
184$1418019$大闹天宫$软糖ཾ࿐$2012-01-19 20:29:29$0$总觉得现在看新版大闹天宫那么的眼熟，原来小时候我真的看过。印象好深，感动依然。
185$1418019$大闹天宫$Anday$2011-08-09 09:36:54$0$我们也来打闹一次
186$1418019$大闹天宫$M.差$2011-02-10 11:45:50$0$急功近利的年代再没有人肯用心
187$1418019$大闹天宫$莱尼圆$2010-01-14 23:10:46$4$中国第一部彩色动画长片，有着杰出的美术风格，处处都是中国传统文化的痕迹，在造型、设景、用色等方面借鉴了古代绘画、剪纸木刻、庙宇宫殿设计、装饰绘画等元素，孙悟空经典荧幕形象横空出世，头戴软帽、身着虎皮裙、脸似仙桃，白云带着如意头和祥云纹，神采奕奕，勇猛矫健，敢把皇帝拉下马；在背景描绘上有水墨的笔法，天宫的亭台楼阁和装饰物从传统青铜器图案变化得出。戏曲化的视听风格，运用京剧的打击乐器和锣鼓点子，节奏感强。邱岳峰的配音极其传神，成为无数人心中最经典的猴王声音
188$1418019$大闹天宫$口腔溃疡$2012-05-15 12:53:10$0$中国元素的集大成
189$1418019$大闹天宫$丁一$2013-09-26 20:09:10$2$观影盘点期，看过补脚印
190$1418019$大闹天宫$TING.$2011-03-05 18:03:40$0$国产的经典~
191$1418019$大闹天宫$Zola$2012-03-06 23:22:26$0$大陆最好的动画。
